date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
17.05.16,Myanmar,BUA,"Telecommunications, Media, and Technology",Irrawaddy Towers,35935,IRRAWADDY GREEN TOWERS LTD,Pending Approval,NA,NA,42.5,10,52.5
17.05.16,Argentina,ARG,Agribusiness and Forestry,Adeco Agropecuaria Argentina,36054,ADECO AGROPECUARIA S.A.,Active,NA,NA,50,NA,50
17.05.16,Poland,POL,Financial Institutions,Zachodni WBK,38099,SANTANDER LEASING S.A.,Active,NA,NA,150,NA,150
16.05.16,India,IND,Financial Institutions,Grameen Koota Financial Services,35181,CREDITACCESS GRAMEEN LIMITED,Active,NA,NA,20,NA,20
16.05.16,Bosnia and Herzegovina,BIH,Manufacturing,SSL Bosnia IV,37515,SISECAM SODA LUKAVAC DOO,Active,NA,NA,10,NA,10
13.05.16,South Africa,SOU,Agribusiness and Forestry,Number Two Piggeries (Pty) Ltd,37907,NUMBER TWO PIGGERIES (PROPRIETARY) LIMITED,Pending Approval,NA,NA,NA,NA,NA
13.05.16,Senegal,SEN,Infrastructure,CG CdB II,38113,CG CAP DES BICHES SENEGAL,Active,4,NA,NA,NA,4
13.05.16,Myanmar,BUA,"Tourism, Retail, and Property",Oway Group,38400,OWAY COMPANY LIMITED,Active,NA,NA,NA,2,2
11.05.16,Eastern Africa Region,EAN,Agribusiness and Forestry,Nespresso East African Coffee Project,36083,NESPRESSO SUSTAINABILITY INNOVATION FUND,Completed,NA,NA,3,NA,3
11.05.16,Latin America Region,LAC,Funds,Abraaj ALAF II,38042,COLONY LATIN AMERICA FUND II L.P.,Active,NA,NA,NA,20,20
09.05.16,Western Africa Region,WAN,Funds,Oasis AfricaFund,37988,OASIS AFRICA VC FUND LIMITED,Active,NA,NA,NA,250,250
06.05.16,Mexico,MXC,Manufacturing,Cemex Green,37840,"CEMEX, S.A.B. DE C.V",Completed,NA,NA,120,NA,120
06.05.16,Cambodia,KAM,Funds,CLMDF II,37898,CAMBODIA-LAOS-MYANMAR DEVELOPMENT FUND II LP,Active,NA,NA,NA,250,250
05.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,Delta Solar,37636,DELTA FOR RENEWABLE ENERGY SAE,Active,1,NA,19,NA,20
05.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,Taqa Arabia Solar,37637,TAQA ARABIA FOR SOLAR ENERGY S.A.E.,Active,1,NA,23,NA,24
05.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,SECI Benban 3 Winnergy,37713,WINNERGY FOR RENEWABLE ENERGY PROJECTS S.A.E.,Active,0.5,NA,21,NA,21.5
04.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,SECI-DT Benban 1 - ARC,37580,ARC FOR RENEWABLE ENERGY SAE,Active,1,NA,23,NA,24
04.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,Phoenix Power1,37591,PHOENIX POWER 1 SAE,Active,1,NA,24,NA,25
04.05.16,"Egypt, Arab Republic of",EGT,Infrastructure,Alcazar Solar 1,37633,ALCAZAR ENERGY EGYPT SOLAR 1,Active,1,NA,19,NA,20
03.05.16,India,IND,Financial Institutions,Repco HFL,37630,REPCO HOME FINANCE LIMITED,Active,NA,NA,40,NA,40
29.04.16,Cote d'Ivoire,IVC,Financial Institutions,SIMPA CI,38053,SOCIETE INDUSTRIELLE MODERNE DES PLASTIQUES AFRICAINS SA,Active,NA,NA,16.73,NA,16.73
29.04.16,Eastern Europe Region,EER,Agribusiness and Forestry,Soufflet LT,38083,SOUFFLET FINANCES,Active,NA,NA,34.19,NA,34.19
28.04.16,Ukraine,UKR,Agribusiness and Forestry,Astarta FMO loan,38157,"ASTARTA-KYIV,TOV",Completed,NA,NA,10,NA,10
27.04.16,Mexico,MXC,Financial Institutions,Vector Mezzanine Mexico Uno,38101,"MEZZANINE MEXICO UNO, S.A.P.I. DE C.V., SOFOM, E.N.R.",Active,NA,NA,22.65,NA,22.65
27.04.16,Pakistan,PAK,Agribusiness and Forestry,Anagram Equity,38150,Koninklijke FrieslandCampina N.V.,Active,NA,NA,111.52,44.61,156.13
27.04.16,Zambia,ZAM,Financial Institutions,Zoona,38220,ZOONA TRANSACTIONS INTERNATIONAL LTD,Active,NA,NA,NA,6,6
26.04.16,"Egypt, Arab Republic of",EGT,"Tourism, Retail, and Property",Hassan Allam 1,37831,HASSAN ALLAM CONSTRUCTION,Pending Approval,NA,NA,10,20,30
25.04.16,Iraq,IRQ,Manufacturing,Karbala Cement Manufacturing Limited,32206,KARBALA CEMENT MANUFACTURING LTD.,Completed,NA,NA,100,50,150
25.04.16,Vietnam,VNM,Financial Institutions,TPB Quasi Equity,37920,TIEN PHONG COMMERCIAL JOINT STOCK BANK,Active,NA,NA,NA,18.35,18.35
25.04.16,Lebanon,LEB,Financial Institutions,Vitas Leb II,38049,VITAS SAL,Active,NA,NA,4,NA,4
25.04.16,Ukraine,UKR,Agribusiness and Forestry,Agrofusion WC Loan,38058,FE INTEGRATED AGROSYSTEMS,Active,NA,NA,10,NA,10
25.04.16,Africa Region,AFR,Financial Institutions,ALCB Fund,38139,AFRICAN LOCAL CURRENCY BOND FUND LIMITED,Active,NA,NA,20,NA,20
22.04.16,Turkey,TUR,Manufacturing,Assan Aluminium,37550,ASSAN ALUMINYUM SANAYI VE TICARET ANONIM SIRKETI,Active,NA,NA,56.99,NA,56.99
22.04.16,Argentina,ARG,Financial Institutions,PATAGONIA CL II,38119,BANCO PATAGONIA S.A.,Active,NA,NA,50,NA,50
22.04.16,Latin America Region,LAC,Funds,500 Mexico II,38263,500 LUCHADORES II LP,Active,NA,NA,NA,30,30
21.04.16,West Bank and Gaza,XOT,Financial Institutions,Faten II,35149,PALESTINE FOR CREDIT AND DEVELOPMENT,Active,NA,NA,5,NA,5
21.04.16,World Region,WLD,Financial Institutions,DARP Global AGM,37035,Seta Holdco S.A R.L.,Active,NA,NA,462.5,37.5,500
20.04.16,Georgia,GEO,Health and Education,Georgia Healthcare Group,37824,GEORGIA HEALTHCARE GROUP JSC,Active,NA,NA,25,NA,25
19.04.16,Montenegro,MNE,Financial Institutions,Alter Modus,37435,ALTER MODUS D.O.O.,Active,NA,NA,4.46,NA,4.46
14.04.16,India,IND,Health and Education,Regency Hospital,35989,REGENCY HOSPITAL LIMITED,Active,NA,NA,NA,9.07,9.07
14.04.16,Argentina,ARG,Financial Institutions,Galicia CL III,38134,BANCO DE GALICIA Y BUENOS AIRES S.A.,Active,NA,NA,130,NA,130
13.04.16,Myanmar,BUA,Financial Institutions,Maha MicroFinance,38031,MAHA AGRICULTURE PUBLIC COMPANY LIMITED,Active,NA,NA,2,1.5,3.5
13.04.16,Vietnam,VNM,Financial Institutions,VPBank Senior Loan,38038,VIETNAM PROSPERITY JOINT STOCK COMMERCIAL BANK,Active,NA,NA,50,NA,50
13.04.16,"Egypt, Arab Republic of",EGT,Funds,Flat6Labs Accelerator Company S.A.E.,38087,FLAT6LABS ACCELERATOR FOR IT AND PROJECT MANAGEMENT SAE,Active,NA,NA,NA,30,30
13.04.16,Mongolia,MNG,Financial Institutions,Khan Bank Syndication Loan,38121,KHAN BANK LLC,Active,NA,NA,40,NA,40
12.04.16,India,IND,Funds,Plenty Fund I,37348,PLENTY PRIVATE EQUITY FUND I LIMITED,Active,NA,NA,NA,25.4,25.4
12.04.16,South Africa,SOU,Financial Institutions,Nelson,37402,NET 1 UEPS TECHNOLOGIES INC.,Active,NA,NA,NA,30,30
11.04.16,India,IND,Financial Institutions,HFC Facility,37555,MOTILAL OSWAL HOME FINANCE LIMITED,Pending Approval,NA,NA,37.53,NA,37.53
08.04.16,Cambodia,KAM,Financial Institutions,HKL AB Loan,38239,Hattha Kaksekar Limited,Active,NA,NA,20,NA,20
04.04.16,Tanzania,TAN,"Tourism, Retail, and Property",Peninsula Plaza Ltd,33972,PENINSULA PLAZA LIMITED,Pending Approval,NA,NA,17.5,NA,17.5
04.04.16,Turkey,TUR,Infrastructure,Karaca Hydro,37872,KREMNA ENERJI URETIM VE TICARET A.S.,Active,NA,NA,47,NA,47
01.04.16,Chile,CHL,Financial Institutions,Lauca,37622,Consorcio Financiero S.A.,Active,NA,NA,NA,100,100
31.03.16,India,IND,Financial Institutions,Shriram TFC NCD,37767,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,Active,NA,NA,98.09,NA,98.09
30.03.16,China,CHA,Financial Institutions,DARP ADM II,37982,ADM CAPITAL,Active,NA,NA,50,NA,50
29.03.16,Vietnam,VNM,Funds,DCGCapitalMarket,37669,DRAGON CAPITAL GROUP LIMITED,Active,NA,NA,50,NA,50
29.03.16,Chile,CHL,Financial Institutions,ComparaOnline EQ,38037,COMPARA ONLINE,Active,NA,NA,NA,5,5
28.03.16,China,CHA,Financial Institutions,CFPA Equity II,38028,"CFPA MICROFINANCE MANAGEMENT CO., LTD.",Active,NA,NA,NA,25,25
25.03.16,Indonesia,INS,Health and Education,SIS school,37139,SOUTHGATE VENTURES PTE LTD,Active,NA,NA,20,NA,20
25.03.16,Panama,PAN,Infrastructure,AES Panama LNG,37456,GAS NATURAL ATLANTICO S. DE R.L.,Active,6,NA,144,NA,150
