date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
06.03.15,Mexico,MXC,Financial Institutions,Progresemos IV,36410,FINANCIAMIENTO PROGRESEMOS SA DE CV SOFOM ENR,Active,NA,NA,11.74,NA,11.74
03.03.15,Argentina,ARG,Financial Institutions,InvoiNet,36306,INVOINET HOLDINGS LLC,Active,NA,NA,0,4,4
03.03.15,Mexico,MXC,Agribusiness and Forestry,CPLF PuertasFin,36529,"PUERTAS FINAS DE MADERA MONTEALBAN, S.A. DE C.V.",Active,NA,NA,125,NA,125
02.03.15,Brazil,BRA,Infrastructure,FOXX URE-BA AMBIENTAL LTDA.,35271,Foxx Ure Ba Ambiental,Hold,NA,NA,30.07,NA,30.07
02.03.15,Ethiopia,ETH,Agribusiness and Forestry,Afriflora,35938,AFRIFLORA,Completed,NA,NA,55.85,NA,55.85
02.03.15,Poland,POL,Funds,21 Concordia L.P.,36207,21 Concordia L.P.,Active,NA,NA,NA,16.79,16.79
27.02.15,India,IND,Financial Institutions,Yes Bank Infra,36208,YES BANK LIMITED,Active,NA,NA,100,NA,100
25.02.15,Turkey,TUR,Financial Institutions,FinansL EE II,36153,QNB FINANS FINANSAL KIRALAMA ANONIM SIRKETI,Active,NA,NA,40,NA,40
23.02.15,Tunisia,TUN,Financial Institutions,Enda III,35267,ENDA INTER ARABE,Completed,NA,NA,8,NA,8
23.02.15,Latin America Region,LAC,"Telecommunications, Media, and Technology",BTS Towers,35932,BTS Torres B.V.,Active,NA,NA,NA,12.5,12.5
20.02.15,Dominican Republic,DOM,Financial Institutions,BHD Peso Loan,33783,BANCO MULTIPLE BHD LEON SA,Active,NA,NA,47.99,NA,47.99
19.02.15,Tanzania,TAN,Financial Institutions,CRDB Equity,36013,CRDB BANK PLC,Active,NA,NA,NA,15,15
19.02.15,Mexico,MXC,Financial Institutions,DARP Encore SPV,36281,DARP Encore SPV Mexico,Hold,NA,NA,NA,NA,NA
19.02.15,Turkey,TUR,Infrastructure,UNIT Equity,36326,Unit Investment N.V.,Active,NA,NA,0,142.5,142.5
17.02.15,India,IND,Health and Education,SChand,35817,S CHAND AND COMPANY LIMITED,Active,NA,NA,NA,17.22,17.22
13.02.15,Myanmar,BUA,Agribusiness and Forestry,Yoma Agricultural & Logistics Holding,34804,YOMA FLEET LIMITED,Active,NA,NA,10,10,20
13.02.15,Cambodia,KAM,Financial Institutions,HKL Senior Loan,36242,Hattha Kaksekar Limited,Active,NA,NA,10,NA,10
12.02.15,China,CHA,"Oil, Gas, and Mining",Tian Lun Gas,35400,CHINA TIAN LUN GAS HOLDINGS LIMITED,Active,NA,NA,40,75,115
11.02.15,China,CHA,Manufacturing,Birla Carbon PRC,34941,"BIRLA CARBON CHINA (JINING) CO., LTD",Active,NA,NA,40,10,50
11.02.15,"Egypt, Arab Republic of",EGT,Manufacturing,CHSC Limited,35033,CARBON HOLDINGS LIMITED,Active,NA,NA,25,NA,25
11.02.15,"Macedonia, former Yugoslav Republic of",MKD,Manufacturing,KSS Macedonia,36116,KEY SAFETY SYSTEMS MACEDONIA DOOEL,Completed,NA,NA,8.59,NA,8.59
10.02.15,Cambodia,KAM,Financial Institutions,Prasac Sr Loan 3,36280,PRASAC MICROFINANCE INSTITUTION LIMITED,Active,NA,NA,10,NA,10
10.02.15,Peru,PER,Financial Institutions,Edyficar V,35381,Empresa Financiera Edyficar S.A,Active,NA,NA,50,NA,50
05.02.15,Tanzania,TAN,"Oil, Gas, and Mining",Pan African,34240,PANAFRICAN ENERGY TANZANIA LTD,Active,NA,NA,85,15,100
03.02.15,World Region,WLD,Financial Institutions,GTLP Citi III,36386,CITIBANK N.A.,Completed,NA,NA,600,NA,600
02.02.15,Cambodia,KAM,Financial Institutions,TPC MFI Loan,34422,LOLC (CAMBODIA) PLC,Completed,NA,NA,10,NA,10
30.01.15,Ecuador,ECU,Financial Institutions,Internac Loan,35525,Banco Internacional S.A.,Completed,NA,NA,40,NA,40
29.01.15,Central Africa Region,AFC,Funds,African Rivers Fund LLC,35343,AFRICA RIVERS FUND,Active,NA,NA,NA,10,10
28.01.15,Bolivia,BOL,Financial Institutions,BCP Bolivia Loan,34661,Banco de Credito de Bolivia S.A.,Active,NA,NA,15,NA,15
26.01.15,Bangladesh,BAN,Infrastructure,Summit Bibiyana II Power Company Limited,30542,SUMMIT BIBIYANA II POWER COMPANY LIMITED,Active,NA,NA,75,5,80
23.01.15,World Region,WLD,Funds,Rocket EM Internet Fund,35232,Emerging Markets Internet Fund SCS,Active,NA,NA,NA,22.45,22.45
23.01.15,Cambodia,KAM,Health and Education,Acleda Education,35242,ACLEDA TRAINING CENTER LTD,Active,NA,NA,13,NA,13
23.01.15,China,CHA,Infrastructure,CEI Water II,35266,CHINA EVERBRIGHT WATER LIMITED,Active,NA,NA,80,70,150
21.01.15,India,IND,Financial Institutions,PFS II,36091,PTC INDIA FINANCIAL SERVICES LIMITED,Active,NA,NA,34.46,NA,34.46
21.01.15,Nigeria,NIR,Financial Institutions,LAPO MFB II,36229,LAPO MICROFINANCE BANK LTD,Active,NA,NA,10.1,NA,10.1
20.01.15,Vietnam,VNM,Agribusiness and Forestry,Pan Pacific VN,34305,THE PAN GROUP JSC,Active,NA,NA,NA,6.56,6.56
16.01.15,Brazil,BRA,Infrastructure,ECO Brazil,35464,BRAZIL PORT LOGISTICA OFFSHORE E ESTALEIRO NAVAL LTDA.,Active,NA,NA,27.3,NA,27.3
16.01.15,Turkey,TUR,Financial Institutions,Iyzico,35828,IYZICO ODEME HIZMETLERI A.S.,Active,NA,NA,NA,3,3
15.01.15,India,IND,Financial Institutions,Bandhan Banking Transformation,36166,BANDHAN FINANCIAL SERVICES LIMITED,Active,NA,NA,NA,92.97,92.97
15.01.15,World Region,WLD,"Telecommunications, Media, and Technology",ESIP Planet Labs,36363,PLANET LABS INC.,Active,NA,NA,NA,20,20
14.01.15,Nepal,NEP,"Tourism, Retail, and Property",Fairfield-KTM,35111,NEPAL HOSPITALITY AND HOTELS PRIVATE LIMITED,Active,NA,NA,3,NA,3
14.01.15,Liberia,LIB,Agribusiness and Forestry,Rubber Renovation Program,36348,FIRESTONE LIBERIA INC,Pending Approval,NA,NA,25,NA,25
12.01.15,World Region,WLD,Funds,WEOF - AMC Fund,36082,WOMEN ENTREPRENEURS DEBT FUND LP,Active,NA,NA,NA,30,30
12.01.15,Liberia,LIB,Agribusiness and Forestry,Wienco Liberia,36357,WIENCO LIBERIA LTD,Active,NA,NA,2.5,NA,2.5
09.01.15,Nigeria,NIR,Manufacturing,Dangote Industries Limited,33744,DANGOTE INDUSTRIES LIMITED,Active,NA,NA,150,NA,150
08.01.15,India,IND,Financial Institutions,DARP Encore ARC,34869,ENCORE ASSET RECONSTRUCTION COMPANY,Active,NA,NA,NA,5.42,5.42
07.01.15,Myanmar,BUA,Financial Institutions,Fullerton Finance (Myanmar) Company Limited Equity,34502,FULLERTON FINANCE MYANMAR CO LTD,Active,NA,NA,NA,1.4,1.4
05.01.15,Mozambique,MOZ,Financial Institutions,BCI Tier II,35789,"BANCO COMERCIAL E DE INVESTIMENTOS, S.A.",Pending Approval,NA,NA,NA,NA,NA
05.01.15,Southern Europe Region,EUR,Financial Institutions,EMBonds,35950,EMERGING MARKETS BONDS EXCHANGE LIMITED,Active,NA,NA,NA,1.5,1.5
30.12.14,Cambodia,KAM,Financial Institutions,ACLEDAGroup loan,35963,ACLEDA BANK PLC.,Active,NA,NA,40,NA,40
24.12.14,Sao Tome and Principe,STP,Financial Institutions,RSF BISTP,35162,RSF Bk Intl Sao Tome,Active,NA,1.46,NA,NA,1.46
23.12.14,Guinea-Bissau,GUB,Manufacturing,Cardoz Cimentos de Bissau,35995,CARDOZ CIMENTOS DE BISSAU SA,Hold,NA,NA,13.15,NA,13.15
22.12.14,China,CHA,Agribusiness and Forestry,Atopco Beef,35839,"KILCOY GLOBAL FOODS, LTD.",Active,NA,NA,20,10,30
22.12.14,Colombia,CLM,Health and Education,Cleaner Production Facility for Fundacion Cardio,36254,FUNDACION CARDIOVASCULAR DE COLOMBIA,Hold,NA,NA,NA,NA,NA
19.12.14,Serbia,SRB,Infrastructure,Dolovo Wind,33839,VETROELEKTRANE BALKANA D.O.O,Active,3,NA,70.88,NA,73.88
19.12.14,Brazil,BRA,Financial Institutions,BanSicredi Guarantee,35470,Banco Cooperativo Sicredi S/A.,Completed,NA,100,NA,NA,100
17.12.14,Brazil,BRA,Agribusiness and Forestry,Biosev,34607,BIOSEV BIOENERGIA SA,Active,NA,NA,NA,50,50
16.12.14,Central America Region,XCN,Funds,CASEIF III Ltd.,35842,CASEIF III LP,Active,NA,NA,NA,10,10
16.12.14,Turkey,TUR,"Telecommunications, Media, and Technology",Zenium,35939,ZENIUM EM SPC LTD,Completed,NA,NA,35,25,60
11.12.14,India,IND,Infrastructure,Road Holdco,34415,CUBE HIGHWAYS AND INFRASTRUCTURE PTE LTD.,Active,NA,NA,150,100,250
10.12.14,Philippines,PHL,Health and Education,Cravings Equity,35471,TCG HOLDINGS INC.,Active,NA,NA,3.99,16.22,20.22
10.12.14,Latin America Region,LAC,Financial Institutions,LH LAC II,35685,La Hipotecaria (Holding) Inc,Active,NA,NA,50.73,NA,50.73
09.12.14,India,IND,Financial Institutions,Axis Bank III,34782,AXIS BANK LIMITED,Active,NA,NA,100,50,150
05.12.14,Turkey,TUR,Manufacturing,Soda Sanayii,34669,SODA SANAYII ANONIM SIRKETI,Active,NA,NA,NA,25,25
05.12.14,Indonesia,INS,Infrastructure,Blue Bird IPO,35833,"BLUE BIRD, PT TBK",Completed,NA,NA,NA,19.7,19.7
05.12.14,Bosnia and Herzegovina,BIH,Financial Institutions,RBBH Housing 2,35851,RAIFFEISEN BANK DD BOSNA I HERCEGOVINA,Active,NA,NA,5.61,NA,5.61
04.12.14,Chad,CHD,"Telecommunications, Media, and Technology",Millicom Tchad SA,34297,MILLICOM TCHAD SA,Active,NA,NA,76.06,NA,76.06
04.12.14,Rwanda,RWA,Financial Institutions,Newco Farmer Fin,35378,KCB BANK RWANDA LTD,Completed,NA,3.24,2.25,NA,5.49
03.12.14,"Egypt, Arab Republic of",EGT,"Oil, Gas, and Mining",PICO RBL,25769,CHEIRON FINANCE LIMITED,Active,NA,NA,75,NA,75
24.11.14,Belarus,BLR,Manufacturing,Alutech III,35223,THE ALUTECH GROUP,Completed,NA,NA,16.78,NA,16.78
24.11.14,MENA Region,EMN,Infrastructure,Gaia Equity,35909,ALCAZAR ENERGY PARTNERS LTD,Active,NA,NA,NA,25.25,25.25
20.11.14,Brazil,BRA,"Tourism, Retail, and Property",Netshoes Cayman Limited,35490,NS2.Com Internet S/A.,Active,NA,NA,NA,20,20
20.11.14,Ecuador,ECU,Financial Institutions,Bolivariano SL,35813,Banco Bolivariano C.A.,Completed,NA,NA,30,NA,30
19.11.14,Indonesia,INS,Financial Institutions,Kartuku,34806,"MULTI ADIPRAKARSA MANUNGGAL, PT",Hold,5,NA,10,10,25
19.11.14,Angola,ANG,Financial Institutions,WCSS BNI Angola,36063,BANCO DE NEGOCIOS INTERNACIONAL S.A,Pending Approval,NA,NA,20,NA,20
18.11.14,China,CHA,Health and Education,Maple Leaf Edu,34950,MAPLE LEAF EDUCATIONAL SYSTEMS,Active,NA,NA,NA,15.48,15.48
18.11.14,Honduras,HDS,Infrastructure,"EnergÃ­a Cinco Estrellas, S.A. de C.V.",35364,ENERGIA CINCO ESTRELLAS SA DE CV,Active,1.35,NA,25,NA,26.35
18.11.14,Kenya,KEN,Health and Education,Goodlife Pharma,35404,GOODLIFE PHARMACY LIMITED,Active,NA,NA,4.5,0,4.5
17.11.14,China,CHA,Health and Education,Weigao II,34313,"Shandong Weigao Group Medical Polymer Co., Ltd.",Active,NA,NA,97.67,NA,97.67
14.11.14,Nigeria,NIR,Financial Institutions,Accion Ng Loan,32629,ACCION MICROFINANCE BANK LTD,Active,NA,NA,2.11,NA,2.11
14.11.14,Indonesia,INS,Financial Institutions,Lotus Creation,34215,"BANK MAYORA, PT",Active,NA,NA,NA,24.96,24.96
13.11.14,India,IND,"Tourism, Retail, and Property",SPAH,34628,SHAPOORJI PALLONJI AND COMPANY PRIVATE LIMITED,Active,NA,NA,NA,34.44,34.44
13.11.14,Papua New Guinea,PAP,"Oil, Gas, and Mining",Transform Equity,35312,TRANSFORM EXPLORATION PTY LTD,Completed,NA,NA,NA,18.32,18.32
12.11.14,Pakistan,PAK,Infrastructure,Gul Ahmed Wind Limited,35088,GUL AHMED WIND POWER LIMITED,Active,NA,NA,11.7,3.3,15
11.11.14,Turkey,TUR,Infrastructure,HKA,34552,HEKSAGON KATI ATIK YONETIMI SANAYI VE TICARET ANONIM SIRKETI,Active,NA,NA,50,20,70
07.11.14,Azerbaijan,AZE,Financial Institutions,MCB Leasing Sen.,35718,MCB LEASING CJSC,Completed,NA,NA,3,NA,3
05.11.14,Nigeria,NIR,Financial Institutions,GTB VI,34399,GUARANTY TRUST BANK PLC,Active,NA,NA,100,NA,100
05.11.14,Uganda,UAN,Health and Education,Merryland School,35301,MERRYLAND HIGH SCHOOL LIMITED,Active,NA,NA,4.1,NA,4.1
04.11.14,Angola,ANG,"Tourism, Retail, and Property","SWB comercio e industria, Lda",34760,SWB comercio e industria Lda,Pending Approval,NA,NA,28.8,NA,28.8
04.11.14,Turkey,TUR,Infrastructure,Izmir Railcars,35012,Izmir Metropolitan Municipality,Active,NA,NA,24.95,NA,24.95
03.11.14,India,IND,Health and Education,ESIP EyeQ,35512,EYE-Q VISION PRIVATE LIMITED,Active,NA,NA,NA,5.36,5.36
03.11.14,Colombia,CLM,Financial Institutions,Bancamia Bond,35730,BANCO DE LAS MICROFINANZAS BANCAMIA S A,Active,NA,NA,46.24,NA,46.24
31.10.14,Turkey,TUR,Health and Education,Etlik Health,33677,ANKARA ETLIK HASTANE SAGLIK HIZMETLERI ISLETME YATIRIM ANONIM SIRKETI,Active,3,NA,85.02,NA,88.02
31.10.14,Azerbaijan,AZE,Financial Institutions,Access Sub-debt,35540,ACCESSBANK CJSC,Active,NA,NA,25,0,25
31.10.14,Nigeria,NIR,Funds,Capital Alliance Private Equity IV,35697,Capital Alliance Private Equity IV Limited,Active,NA,NA,NA,40,40
29.10.14,Mozambique,MOZ,Manufacturing,MMI Mozambique,34708,"M.M INTEGRATED STEEL MILLS (MOZAMBIQUE), LIMITADA",Active,NA,NA,13.5,NA,13.5
24.10.14,China,CHA,Financial Institutions,China Fullerton ABS,34028,"Fullerton Microcredit Sichuan Co., Ltd.",Pending Approval,NA,29.85,NA,NA,29.85
24.10.14,Indonesia,INS,Financial Institutions,BTPN SALPS II,34329,PT BANK BTPN TBK,Completed,NA,NA,300,NA,300
24.10.14,Bulgaria,BUL,Manufacturing,Bulmarket LPG,34665,BULMARKET DM OOD,Completed,NA,NA,16.44,NA,16.44
24.10.14,Tanzania,TAN,"Oil, Gas, and Mining",Ngualla,35868,PEAK AFRICAN MINERALS,Active,NA,NA,1.68,3.82,5.5
21.10.14,India,IND,Financial Institutions,Fullerton NCD,34749,FULLERTON INDIA CREDIT COMPANY LIMITED,Active,NA,NA,75.88,NA,75.88
21.10.14,Azerbaijan,AZE,Financial Institutions,Turan MSME II,35496,TuranBank OAO,Active,NA,NA,7,NA,7
17.10.14,China,CHA,Infrastructure,Zhengming,34169,"Shanghai Zhengmig Morden Logistics Co., Ltd.",Active,NA,NA,20,10.31,30.31
16.10.14,Morocco,MYC,"Tourism, Retail, and Property",Alliances,33038,ALLIANCES DUVELOPPEMENT IMMOBILIER,Active,NA,NA,0,65,65
15.10.14,Peru,PER,Financial Institutions,MAV Credit Peru,35369,HMC CAPITAL PERU S.A.,Active,NA,NA,NA,15,15
15.10.14,Western Africa Region,WAN,Financial Institutions,Ebola Emergency Liquidity Facility,36027,EBOLA EMERGENCY LIQUIDITY FACILITY,Pending Approval,NA,NA,75,NA,75
14.10.14,Country Name Pending,NA,Financial Institutions,P&C Insurance Co.,34648,Company Name Pending,Active,NA,NA,18,NA,18
10.10.14,Mexico,MXC,Infrastructure,CMSA Manzanillo,33776,"Contecon Manzanillo, S.A. de C.V.",Completed,NA,NA,65,NA,65
09.10.14,Tanzania,TAN,Financial Institutions,M Mortgage Finance (Tanzania) Ltd.,33719,FIRST HOUSING FINANCE (TANZANIA) LIMITED,Active,NA,NA,NA,1.5,1.5
09.10.14,Mexico,MXC,Financial Institutions,CAMESA PCG,34538,"Consejo de Asistencia al Microemprendedor, S.A. de C.V., S.F.",Completed,NA,9.73,NA,NA,9.73
08.10.14,Africa Region,AFR,Agribusiness and Forestry,Balton CP,34717,BALTON CP LIMITED,Pending Approval,NA,NA,8,NA,8
08.10.14,Costa Rica,COS,Financial Institutions,Improsa W SME,35132,Banco Improsa SA,Active,NA,NA,20,NA,20
06.10.14,China,CHA,Health and Education,Asia Heart,33623,Wuhan Asia Heart Hospital,Hold,NA,NA,35,NA,35
06.10.14,Indonesia,INS,Financial Institutions,Ekonomi SME Loan,34288,PT BANK EKONOMI RAHARJA,Hold,NA,NA,45,NA,45
06.10.14,India,IND,Infrastructure,Green Infra Wind,35415,Green Infra Corporate Solar Limited,Active,NA,NA,59.1,NA,59.1
30.09.14,India,IND,Infrastructure,Everstone III,35855,EVERSTONE CAPITAL PARTNERS III LP,Active,NA,NA,NA,50,50
30.09.14,Nigeria,NIR,"Oil, Gas, and Mining",Seven Energy Bond,35877,SEVEN ENERGY INTERNATIONAL LIMITED,Completed,NA,NA,50,NA,50
29.09.14,Mozambique,MOZ,Agribusiness and Forestry,Portucel Moz,32522,PORTUCEL MOCAMBIQUE LDA,Active,NA,NA,NA,32,32
29.09.14,India,IND,Financial Institutions,Clearwater India Limited,34733,ALTICO CAPITAL INDIA LIMITED,Active,NA,NA,72.49,NA,72.49
29.09.14,India,IND,Financial Institutions,MyUniverseAB Grp,34923,ADITYA BIRLA MYUNIVERSE LIMITED,Active,NA,NA,NA,9.67,9.67
26.09.14,Pakistan,PAK,Infrastructure,Gulpur Hydro,32874,MIRA POWER LIMITED,Active,NA,NA,60,NA,60
24.09.14,Honduras,HDS,Infrastructure,Valle Solar PV,35080,Compania Hondurena de Energia Solar SA de CV,Active,0.75,NA,30,NA,30.75
19.09.14,Pakistan,PAK,Financial Institutions,BAFL Equity,34773,BANK ALFALAH LIMITED,Active,NA,NA,NA,65.85,65.85
19.09.14,India,IND,Infrastructure,Acme Solar NSM,35187,MEDHA ENERGY PRIVATE LIMITED,Active,NA,NA,50,NA,50
17.09.14,China,CHA,Agribusiness and Forestry,New Hope SEA,34007,NEW HOPE SINGAPORE PTE. LTD.,Active,NA,NA,40,NA,40
15.09.14,Turkey,TUR,Infrastructure,Gama Enerji,32258,GAMA ENERJI ANONIM SIRKETI,Active,NA,NA,NA,170,170
12.09.14,Nicaragua,NIC,"Oil, Gas, and Mining",Condor Gold Plc,32519,CONDOR GOLD PLC,Completed,NA,NA,NA,10,10
11.09.14,Costa Rica,COS,Financial Institutions,Davivienda Costa Rica,32965,Banco Davivienda (Costa Rica) S.A.,Active,NA,NA,50,NA,50
11.09.14,India,IND,"Telecommunications, Media, and Technology",Idea Cell Ltd.,35083,IDEA CELLULAR LIMITED,Completed,NA,NA,NA,64.66,64.66
10.09.14,Brazil,BRA,Health and Education,Rede Dor ll,33914,REDE D'OR SAO LUIZ SA,Completed,NA,NA,50,NA,50
10.09.14,Kazakhstan,KAZ,Agribusiness and Forestry,RG Brands,35534,RG Brands AO,Active,NA,NA,30,NA,30
10.09.14,Lebanon,LEB,Financial Institutions,Bank Audi Equity,35788,BANK AUDI SAL,Active,NA,NA,NA,88.5,88.5
09.09.14,Cameroon,CAM,Agribusiness and Forestry,BICEC  Agri RSF,34915,Banque Internationale du Cameroun pour lEpargne et le Credit,Active,NA,4.28,NA,NA,4.28
08.09.14,Brazil,BRA,Health and Education,Affero Lab,34700,AFFERO LAB SA,Completed,NA,NA,NA,20.79,20.79
08.09.14,Belarus,BLR,"Tourism, Retail, and Property",A 100,35068,ALC ETERIKA MINSK REGION,Active,NA,NA,20,NA,20
04.09.14,Armenia,ARM,Financial Institutions,FINCA Armenia 2,35418,FINCA UNIVERSAL CREDIT ORGANIZATION CJSC,Completed,NA,NA,3,NA,3
03.09.14,Kenya,KEN,Financial Institutions,Chase Bank BoW,35433,CHASE BANK KENYA LIMITED,Active,NA,NA,25,NA,25
02.09.14,Latin America Region,LAC,Financial Institutions,"Americas Energy Fund II Clean Energy, L.P.",35146,"Americas Energy Fund II Clean Energy, L.P.",Active,NA,NA,NA,25,25
02.09.14,Kenya,KEN,Financial Institutions,DTBK Tier II Inc,35549,Diamond Trust Bank Kenya Limited,Active,NA,NA,20,NA,20
29.08.14,Eastern Europe Region,EER,"Tourism, Retail, and Property",ESIP Kaymu,35214,Digital Services Xvi SARL,Completed,NA,NA,NA,12.47,12.47
28.08.14,India,IND,Infrastructure,Azure Clean,35058,AZURE CLEAN ENERGY PRIVATE LIMITED,Completed,NA,NA,13.94,NA,13.94
27.08.14,Sri Lanka,SRI,"Tourism, Retail, and Property",Cargills Foods Company (Private) Limited,33477,CARGILLS QUALITY FOODS LIMITED,Active,NA,NA,NA,20,20
26.08.14,Uganda,UAN,"Telecommunications, Media, and Technology",Eaton Uganda II,35366,EATON TOWERS UGANDA LTD,Completed,NA,NA,20,NA,20
21.08.14,Nigeria,NIR,"Telecommunications, Media, and Technology",IHS Nigeria 2,35725,IHS NIGERIA LIMITED,Completed,NA,NA,50,NA,50
18.08.14,Brazil,BRA,Agribusiness and Forestry,Usina Delta S.A.,34394,Delta Sucroenergia S/A,Active,NA,NA,40,NA,40
18.08.14,Kenya,KEN,Financial Institutions,NIC Bank Limited,35372,NIC BANK KENYA PLC,Active,NA,NA,55,NA,55
15.08.14,Honduras,HDS,Infrastructure,Pacifico Solar,34975,"Participaciones Choluteca Dos, S.A.",Active,NA,NA,46,NA,46
12.08.14,Kazakhstan,KAZ,Financial Institutions,KMF,34328,MICROFINANCE ORGANIZATION KMF LLC,Active,NA,NA,5,NA,5
12.08.14,Ukraine,UKR,Agribusiness and Forestry,Nyva,34421,OOO SP NYVA PEREYASLAVSHCHYNY,Active,NA,NA,25,NA,25
11.08.14,Philippines,PHL,Infrastructure,Thomas Lloyd RE,34754,BRONZEOAK PHILIPPINES INC,Pending Approval,NA,NA,104.7,NA,104.7
11.08.14,Ethiopia,ETH,Agribusiness and Forestry,Ethiop Coffee II,35023,Ethiopian Coffee Initiative,Completed,NA,9.01,NA,NA,9.01
06.08.14,World Region,WLD,Infrastructure,MSC Shipmanagement Limited,35174,MSC SHIPMANAGEMENT LIMITED,Active,NA,NA,150,NA,150
01.08.14,Colombia,CLM,Financial Institutions,DARP New Credit II,35061,DARP SPV NEW CREDIT II,Active,NA,NA,30,NA,30
01.08.14,Jordan,JOR,Infrastructure,Jordan Solar One,35479,JORDAN SOLAR ONE (CAYMAN) JORDAN PSC,Active,NA,NA,22.5,NA,22.5
30.07.14,World Region,WLD,Agribusiness and Forestry,Nidera-COFCO,34737,Nidera B.V.,Active,NA,NA,NA,60,60
30.07.14,World Region,WLD,Agribusiness and Forestry,Noble-COFCO,34738,COFCO AGRI LIMITED,Active,NA,NA,NA,80,80
29.07.14,Romania,ROM,Agribusiness and Forestry,Smithfield Roman,34984,SMITHFIELD ROMANIA SRL,Active,NA,NA,60,NA,60
24.07.14,Brazil,BRA,"Telecommunications, Media, and Technology",Seaborn II,34986,"SEABORN NETWORKS GROUP, INC",Hold,NA,NA,NA,NA,NA
23.07.14,Thailand,THL,Financial Institutions,TMB RSF,35414,TMB BANK PUBLIC COMPANY LIMITED,Active,NA,70.44,NA,NA,70.44
17.07.14,Latin America Region,LAC,"Telecommunications, Media, and Technology",Grupo ASSA II,34426,GRUPO ASSA CORP,Active,NA,NA,8,NA,8
17.07.14,Africa Region,AFR,Health and Education,Abraaj Africa Fund III,34951,Abraaj Investment Management Limited,Active,NA,NA,NA,50,50
14.07.14,Mozambique,MOZ,Infrastructure,Central Termica de Ressano Garcia,33020,CENTRAL TERMICA DE RESSANO GARCIA SA,Active,2,NA,57.95,NA,59.95
14.07.14,Romania,ROM,Financial Institutions,GarantiLeasingRO,34577,MOTORACTIVE IFN SA,Active,NA,NA,9.23,NA,9.23
11.07.14,Turkey,TUR,Health and Education,Kayseri Health,31029,ATM SAGLIK KAYSERI YATIRIM VE ISLETME ANONIM SIRKETI,Active,2,NA,43.66,NA,45.66
11.07.14,World Region,WLD,Financial Institutions,IFC Global Emerging Markets Fund of Funds,34809,"IFC GLOBAL EMERGING MARKETS FUND OF FUNDS, LP",Active,NA,NA,NA,150,150
07.07.14,Colombia,CLM,Health and Education,Centro Hospitalario Serena del Mar (CHSDM),31477,CENTRO HOSPITALARIO SERENA DEL MAR SA,Active,NA,NA,20,NA,20
07.07.14,Turkey,TUR,Infrastructure,ACWA Kirikkale,35395,ACWA GUC ELEKTRIK ISLETME VE YONETIM SANAYI VE TICARET ANONIM SIRKETI,Active,NA,NA,125,NA,125
07.07.14,Jordan,JOR,Infrastructure,Arabia One Solar,35474,ARABIA ONE FOR CLEAN ENERGY INVESTMENTS,Active,NA,NA,11.8,NA,11.8
03.07.14,Jordan,JOR,Infrastructure,Shamsuna PV,35460,SHAMSUNA POWER COMPANY LLC.,Active,NA,NA,9.85,NA,9.85
03.07.14,Jordan,JOR,Infrastructure,Adenium Jordan-1,35467,ZAHRAT AL-SALAM FOR ENERGY GENERATION PSC,Active,NA,NA,41.2,NA,41.2
03.07.14,Jordan,JOR,Infrastructure,Falcon PV,35483,FALCON MA'AN SOLAR POWER LLC,Active,NA,NA,13.1,NA,13.1
02.07.14,Turkey,TUR,Financial Institutions,YKL Sustainable,33950,YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI,Active,NA,NA,64,NA,64
02.07.14,Ethiopia,ETH,"Tourism, Retail, and Property",MM Ethiopia Soap,33983,MM Ethiopia JV,Completed,NA,NA,NA,NA,NA
02.07.14,Pakistan,PAK,"Oil, Gas, and Mining",Elengy Terminal,34603,ENGRO ELENGY TERMINAL PAKISTAN LIMITED,Active,NA,NA,20,15,35
30.06.14,Brazil,BRA,Infrastructure,HDB,34846,HIDROVIAS DO BRASIL SA,Active,NA,NA,NA,30,30
27.06.14,Panama,PAN,Infrastructure,Penonome Wind,34810,"UEP Penonome II, S.A.",Active,3,NA,66,20,89
27.06.14,Jamaica,JAM,Infrastructure,BMR Wind,35081,BMR Jamaica Wind Limited,Active,NA,NA,10,NA,10
26.06.14,MENA Region,EMN,Financial Institutions,Commercial Intelligence,33968,Commercial Intelligence Funds Group,Completed,NA,NA,NA,NA,NA
26.06.14,Netherlands,NET,Agribusiness and Forestry,Ballarpur International Graphic Paper Holdings B.V.,34602,Bilt Paper B.V.,Active,NA,NA,75,100,175
24.06.14,Turkey,TUR,Health and Education,Adana Health,34358,ADN PPP SAGLIK YATIRIM ANONIM SIRKETI,Active,2.5,NA,46.16,NA,48.66
23.06.14,China,CHA,Financial Institutions,Hollysys,34330,"HOLLYSYS AUTOMATION TECHNOLOGIES, LTD.",Completed,NA,NA,20,NA,20
19.06.14,Brazil,BRA,Infrastructure,Divitia FIM CrÃ©dito Privado,34847,DIVITIA INVESTIMENTOS LTDA,Hold,NA,NA,40,NA,40
18.06.14,China,CHA,Agribusiness and Forestry,Fenglin II,35042,"Guangxi Fenglin Wood Industry Group Co., Ltd.",Active,NA,NA,30.21,NA,30.21
